Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
7.03000020980835,0.15480923652648926,-6.602539539337158,-4.810080051422119,-1.4856370687484741,-0.03055555559694767,-0.3444444537162781,2.0202019214630127
7.039999961853027,0.10705754160881042,-6.411520481109619,-4.821194171905518,-1.4434999227523804,-0.03377777710556984,-0.3222222328186035,2.2525250911712646
7.050000190734863,0.017515622079372406,-6.189415454864502,-4.797982215881348,-1.4079172611236572,-0.03677777945995331,-0.30000001192092896,2.484848737716675
7.059999942779541,0.01509833987802267,-5.972815990447998,-4.764703750610352,-1.37046217918396,-0.039444442838430405,-0.2666666805744171,2.6464648246765137
7.070000171661377,0.08428329974412918,-5.778249263763428,-4.747498512268066,-1.3348795175552368,-0.041777778416872025,-0.23333331942558289,2.777777671813965
7.079999923706055,0.1306171417236328,-5.619384765625,-4.645328998565674,-1.3067882061004639,-0.043888889253139496,-0.2111111283302307,2.8686869144439697
7.090000152587891,0.1677800565958023,-5.49204683303833,-4.7076215744018555,-1.2815059423446655,-0.04566666856408119,-0.17777779698371887,2.9595959186553955
7.099999904632568,0.22321701049804688,-5.417438507080078,-4.6867523193359375,-1.2590324878692627,-0.047111108899116516,-0.14444445073604584,2.979797840118408
7.110000133514404,0.17644467949867249,-5.341875076293945,-4.689986228942871,-1.241241455078125,-0.04833333194255829,-0.12222222238779068,2.979797840118408
7.119999885559082,0.13006368279457092,-5.259076118469238,-4.753878116607666,-1.2271957397460938,-0.04922221973538399,-0.08888889849185944,3.010100841522217
7.130000114440918,0.09757630527019501,-5.217374801635742,-4.740684509277344,-1.215959072113037,-0.049888890236616135,-0.06666667014360428,3.070707082748413
7.139999866485596,0.08266568183898926,-5.224733829498291,-4.772898197174072,-1.2084680795669556,-0.050111111253499985,-0.02222222276031971,3.1010100841522217
7.150000095367432,0.07518637180328369,-5.2566046714782715,-4.76588249206543,-1.2065951824188232,-0.050111111253499985,-8.280831020890389e-10,3.151515007019043
7.159999847412109,0.07882725447416306,-5.315850257873535,-4.756992340087891,-1.2103406190872192,-0.04977777972817421,0.03333333507180214,3.222222089767456
7.170000076293945,0.09571006149053574,-5.414093017578125,-4.7652692794799805,-1.2140861749649048,-0.04911111295223236,0.06666667014360428,3.2525248527526855
7.179999828338623,0.11139193922281265,-5.504390716552734,-4.7634124755859375,-1.2234501838684082,-0.04811111092567444,0.09999999403953552,3.1919188499450684
7.190000057220459,0.11630157381296158,-5.593300819396973,-4.760647296905518,-1.2346868515014648,-0.04677777364850044,0.13333334028720856,3.1010098457336426
7.199999809265137,0.15335901081562042,-5.687465667724609,-4.779485702514648,-1.2468596696853638,-0.04511111229658127,0.1666666716337204,2.989898681640625
7.210000038146973,0.1319737732410431,-5.782900333404541,-4.785384654998779,-1.265587329864502,-0.04311111196875572,0.19999998807907104,2.8181815147399902
7.21999979019165,0.13352839648723602,-5.915648937225342,-4.7314863204956055,-1.2908697128295898,-0.0407777763903141,0.23333331942558289,2.6464643478393555
7.230000019073486,0.15313218533992767,-6.070011615753174,-4.7831711769104,-1.3152155876159668,-0.038333334028720856,0.24444442987442017,2.4343435764312744
7.239999771118164,0.08953605592250824,-6.259101390838623,-4.804771900177002,-1.3470525741577148,-0.035555556416511536,0.2777777910232544,2.2020201683044434
7.25,0.1544586420059204,-6.463552951812744,-4.798076152801514,-1.381698727607727,-0.03266666829586029,0.2888888716697693,1.969697117805481
7.260000228881836,0.14397358894348145,-6.6767168045043945,-4.827681541442871,-1.4191539287567139,-0.029555555433034897,0.31111112236976624,1.7575757503509521
7.269999980926514,0.11844555288553238,-6.890652179718018,-4.87325382232666,-1.4594184160232544,-0.026222221553325653,0.3333333730697632,1.5858585834503174
7.28000020980835,0.12104891985654831,-7.110840320587158,-4.699794769287109,-1.5006192922592163,-0.022777777165174484,0.34444448351860046,1.4242424964904785
7.289999961853027,0.1451892852783203,-7.367548942565918,-4.632486820220947,-1.5418201684951782,-0.01922222226858139,0.35555562376976013,1.232323169708252
7.300000190734863,0.15953302383422852,-7.586207389831543,-4.5703043937683105,-1.5830210447311401,-0.015555555932223797,0.36666667461395264,1.0808080434799194
7.309999942779541,0.1430787742137909,-7.834118366241455,-4.466796875,-1.6260944604873657,-0.011777778156101704,0.3777778148651123,0.8787878751754761
7.320000171661377,0.17121943831443787,-8.078163146972656,-4.553719520568848,-1.6701045036315918,-0.00788888894021511,0.3888889253139496,0.6464645862579346
7.329999923706055,0.15625134110450745,-8.326387405395508,-4.7220072746276855,-1.7178599834442139,-0.003999999724328518,0.3888889253139496,0.4141414165496826
7.340000152587891,0.07557177543640137,-8.557909965515137,-4.794708728790283,-1.7656153440475464,-2.914452568170134e-10,0.40000003576278687,0.15151512622833252
7.349999904632568,0.0795469731092453,-8.845850944519043,-4.8457932472229,-1.812434434890747,0.004000000189989805,0.40000003576278687,-0.12121212482452393
7.360000133514404,0.04748133197426796,-9.091665267944336,-4.899388313293457,-1.86112642288208,0.007999999448657036,0.40000003576278687,-0.43434345722198486
7.369999885559082,-0.01716572418808937,-9.424991607666016,-4.735785007476807,-1.9116909503936768,0.011888888664543629,0.3888889253139496,-0.7070706486701965
7.380000114440918,0.010765927843749523,-9.699956893920898,-4.674054145812988,-1.9557009935379028,0.015666667371988297,0.3777777850627899,-0.9696969985961914
7.389999866485596,0.1296939253807068,-9.946615219116211,-4.5868120193481445,-2.0006473064422607,0.019333334639668465,0.36666667461395264,-1.303030252456665
7.400000095367432,0.14731229841709137,-10.156100273132324,-4.603090763092041,-2.0437209606170654,0.02288888953626156,0.35555553436279297,-1.5656564235687256
7.409999847412109,0.1519794762134552,-10.356951713562012,-4.59921407699585,-2.0821125507354736,0.026222221553325653,0.3333333432674408,-1.7878788709640503
7.420000076293945,0.16241365671157837,-10.564533233642578,-4.724301338195801,-2.1223769187927246,0.02944444678723812,0.32222220301628113,-1.9494950771331787
7.429999828338623,0.13694553077220917,-10.702322006225586,-4.793442726135254,-2.1617050170898438,0.03244444355368614,0.30000001192092896,-2.141414165496826
7.440000057220459,0.08232300728559494,-10.907744407653809,-4.7607831954956055,-2.198223829269409,0.035111114382743835,0.2666666507720947,-2.3434343338012695
7.449999809265137,0.007973822765052319,-11.134201049804688,-4.786001682281494,-2.2347428798675537,0.03755555674433708,0.24444444477558136,-2.4848480224609375
7.460000038146973,0.09572415798902512,-11.269678115844727,-4.736229419708252,-2.264707088470459,0.03977777436375618,0.2222222536802292,-2.606060743331909
7.46999979019165,0.03735901042819023,-11.456640243530273,-4.664982318878174,-2.289052963256836,0.041777774691581726,0.20000001788139343,-2.696969747543335
7.480000019073486,0.06555824726819992,-11.55225944519043,-4.734985828399658,-2.314335584640503,0.043444447219371796,0.1666666865348816,-2.696969509124756
7.489999771118164,0.08001606911420822,-11.654955863952637,-4.800323009490967,-2.3330628871917725,0.04477778077125549,0.13333334028720856,-2.7070705890655518
7.5,0.05819521099328995,-11.730927467346191,-4.785092830657959,-2.3489813804626465,0.04588889330625534,0.1111111119389534,-2.777777671813965
7.510000228881836,0.06274829804897308,-11.777778625488281,-4.781792163848877,-2.3649001121520996,0.046666666865348816,0.07777778059244156,-2.848484992980957
7.519999980926514,0.08894914388656616,-11.79733657836914,-4.779991626739502,-2.376136541366577,0.04722222313284874,0.0555555559694767,-2.858586311340332
7.53000020980835,0.0813119187951088,-11.799484252929688,-4.7814621925354,-2.3826911449432373,0.047555554658174515,0.03333333507180214,-2.8080813884735107
7.539999961853027,0.07090658694505692,-11.763367652893066,-4.755584716796875,-2.386436700820923,0.047555550932884216,3.878355969710867e-13,-2.8080809116363525
7.550000190734863,0.07419709116220474,-11.686454772949219,-4.754244804382324,-2.387373208999634,0.04722221940755844,-0.03333333507180214,-2.858585834503174
7.559999942779541,0.10085184127092361,-11.606459617614746,-4.73580265045166,-2.38456392288208,0.04655555263161659,-0.06666667014360428,-2.8989899158477783
7.570000171661377,0.09803307801485062,-11.527262687683105,-4.741509437561035,-2.37800931930542,0.045666664838790894,-0.08888889104127884,-2.929293155670166
7.579999923706055,0.09316527098417282,-11.448892593383789,-4.768523693084717,-2.3667728900909424,0.044555556029081345,-0.1111111119389534,-2.8989899158477783
7.590000152587891,0.10797348618507385,-11.353508949279785,-4.800184726715088,-2.3508543968200684,0.043111108243465424,-0.14444443583488464,-2.757575750350952
7.599999904632568,0.1304810345172882,-11.243606567382812,-4.779217720031738,-2.3321266174316406,0.041333332657814026,-0.17777776718139648,-2.6262624263763428
7.610000133514404,0.1152607649564743,-11.103780746459961,-4.7663726806640625,-2.3105897903442383,0.03922222554683685,-0.21111109852790833,-2.515151262283325
7.619999885559082,0.06905201077461243,-10.941534996032715,-4.749540328979492,-2.2853076457977295,0.03688888996839523,-0.23333331942558289,-2.383838176727295
7.630000114440918,0.07040908932685852,-10.782422065734863,-4.70785665512085,-2.2600252628326416,0.03433333337306976,-0.25555554032325745,-2.1919190883636475
7.639999866485596,0.07011815160512924,-10.618144989013672,-4.754356861114502,-2.230997323989868,0.03166666626930237,-0.2666666507720947,-1.9494950771331787
7.650000095367432,0.0759996846318245,-10.428658485412598,-4.802351951599121,-2.1972875595092773,0.028777774423360825,-0.2888888716697693,-1.7272727489471436
7.659999847412109,0.09003665298223495,-10.255746841430664,-4.739282608032227,-2.1635777950286865,0.02566666528582573,-0.31111112236976624,-1.4949495792388916
7.670000076293945,0.15346978604793549,-10.057429313659668,-4.703618049621582,-2.12612247467041,0.02244444377720356,-0.3222222328186035,-1.3333333730697632
7.679999828338623,0.10739251971244812,-9.887218475341797,-4.648592948913574,-2.086794376373291,0.019111109897494316,-0.3333333432674408,-1.151515245437622
7.690000057220459,0.12229388952255249,-9.654560089111328,-4.602695941925049,-2.045593738555908,0.015666667371988297,-0.3444444537162781,-0.9696969985961914
7.699999809265137,0.1046459972858429,-9.44915771484375,-4.622642517089844,-2.0034565925598145,0.012111112475395203,-0.35555559396743774,-0.696969747543335
