Time (s),Fᵧ (N),rᵧ (m)
2.7100000381469727,-4.208227634429932,0.2757999897003174
2.7200000286102295,-4.1984543800354,0.27540987730026245
2.7300000190734863,-4.18472957611084,0.27467790246009827
2.740000009536743,-4.167458534240723,0.27361398935317993
2.75,-4.146438121795654,0.2720167338848114
2.759999990463257,-4.1211466789245605,0.27008047699928284
2.7699999809265137,-4.0945048332214355,0.26794326305389404
2.7799999713897705,-4.066194534301758,0.2654721736907959
2.7899999618530273,-4.034656524658203,0.2627325654029846
2.799999952316284,-3.9990599155426025,0.2597920298576355
2.809999942779541,-3.960960865020752,0.25665050745010376
2.819999933242798,-3.9183857440948486,0.2534428536891937
2.8299999237060547,-3.8736331462860107,0.25009992718696594
2.8399999141693115,-3.8303298950195312,0.24655601382255554
2.8499999046325684,-3.7853658199310303,0.24294739961624146
2.859999895095825,-3.741765260696411,0.23920206725597382
2.869999885559082,-3.697603225708008,0.23525577783584595
2.880000114440918,-3.647449016571045,0.23110854625701904
2.890000104904175,-3.598810911178589,0.22689849138259888
2.9000000953674316,-3.544262170791626,0.2226884365081787
2.9100000858306885,-3.4859671592712402,0.21833926439285278
2.9200000762939453,-3.43019700050354,0.21392877399921417
2.930000066757202,-3.3724000453948975,0.20951825380325317
2.940000057220459,-3.3133835792541504,0.2049671858549118
2.950000047683716,-3.2534310817718506,0.20021513104438782
2.9600000381469727,-3.193479061126709,0.19540366530418396
2.9700000286102295,-3.1325902938842773,0.1905921995639801
2.9800000190734863,-3.0726380348205566,0.18578073382377625
2.990000009536743,-3.0136218070983887,0.18096923828125
3,-2.956214189529419,0.17615777254104614
3.009999990463257,-2.900496244430542,0.17134630680084229
3.0199999809265137,-2.8417069911956787,0.16653484106063843
3.0299999713897705,-2.7852749824523926,0.16172334551811218
3.0399999618530273,-2.727677583694458,0.15691187977790833
3.049999952316284,-2.6649160385131836,0.15210039913654327
3.059999942779541,-2.605877161026001,0.14743521809577942
3.069999933242798,-2.548048734664917,0.1426774561405182
3.0799999237060547,-2.489032506942749,0.13801322877407074
3.0899999141693115,-2.432811737060547,0.1334022432565689
3.0999999046325684,-2.3789541721343994,0.1289394497871399
3.109999895095825,-2.32204532623291,0.12438023835420609
3.119999885559082,-2.2677135467529297,0.11991840600967407
3.130000114440918,-2.2154877185821533,0.11550789326429367
3.140000104904175,-2.1620934009552,0.11124749481678009
3.1500000953674316,-2.1093995571136475,0.1068868488073349
3.1600000858306885,-2.0555403232574463,0.10262741148471832
3.1700000762939453,-2.0058913230895996,0.09841737151145935
3.180000066757202,-1.955544352531433,0.09435935318470001
3.190000057220459,-1.905658483505249,0.09034979343414307
3.200000047683716,-1.8576632738113403,0.08649322390556335
3.2100000381469727,-1.8110430240631104,0.08268414437770844
3.2200000286102295,-1.7595220804214478,0.07887505739927292
3.2300000190734863,-1.7091788053512573,0.0750659704208374
3.240000009536743,-1.6625818014144897,0.07125688344240189
3.25,-1.6133861541748047,0.06744780391454697
3.259999990463257,-1.5654044151306152,0.0637945756316185
3.2699999809265137,-1.5195040702819824,0.06018597260117531
3.2799999713897705,-1.4752306938171387,0.05642055720090866
3.2899999618530273,-1.4298208951950073,0.0527687631547451
3.299999952316284,-1.3867300748825073,0.04931792616844177
3.309999942779541,-1.3436392545700073,0.045751553028821945
3.319999933242798,-1.2996125221252441,0.04230167344212532
3.3299999237060547,-1.2572087049484253,0.039052750915288925
3.3399999141693115,-1.2139296531677246,0.03568542003631592
3.3499999046325684,-1.1733993291854858,0.032277293503284454
3.359999895095825,-1.1336203813552856,0.02902980148792267
3.369999885559082,-1.0935224294662476,0.025822151452302933
3.380000114440918,-1.0542503595352173,0.022614503279328346
3.390000104904175,-1.0167815685272217,0.019568923860788345
3.4000000953674316,-0.9818667769432068,0.016561752185225487
3.4100000858306885,-0.9449063539505005,0.013717609457671642
3.4200000762939453,-0.9133108854293823,0.01091091614216566
3.430000066757202,-0.8819741010665894,0.008268206380307674
3.440000057220459,-0.8526781797409058,0.005661991890519857
3.450000047683716,-0.8265417814254761,0.003220717189833522
3.4600000381469727,-0.8028649687767029,0.0008149800123646855
3.4700000286102295,-0.7809001207351685,-0.0012589641846716404
3.4800000190734863,-0.7608118653297424,-0.0030973702669143677
3.490000009536743,-0.7463440299034119,-0.004734820686280727
3.5,-0.7337527871131897,-0.006003983784466982
3.509999990463257,-0.7243853211402893,-0.006871235091239214
3.5199999809265137,-0.7179423570632935,-0.007504860404878855
3.5299999713897705,-0.7172687649726868,-0.007937530055642128
3.5399999618530273,-0.7187340259552002,-0.00800000037997961
3.549999952316284,-0.72301185131073,-0.00800000037997961
3.559999942779541,-0.7329102754592896,-0.007829801179468632
3.569999933242798,-0.7432152628898621,-0.007287967950105667
3.5799999237060547,-0.7556600570678711,-0.006515378598123789
3.5899999141693115,-0.7717202305793762,-0.005370199680328369
3.5999999046325684,-0.7920596599578857,-0.0038231078069657087
3.609999895095825,-0.8110647201538086,-0.002046693116426468
3.619999885559082,-0.8319439888000488,-0.00024239046615548432
3.630000114440918,-0.8568409085273743,0.0019090039422735572
3.640000104904175,-0.8833422064781189,0.004114262759685516
3.6500000953674316,-0.911444902420044,0.006319521926343441
3.6600000858306885,-0.941030740737915,0.008699760772287846
3.6700000762939453,-0.973816454410553,0.01128095667809248
3.680000066757202,-1.004730224609375,0.013887171633541584
3.690000057220459,-1.0363041162490845,0.016669802367687225
3.700000047683716,-1.0680460929870605,0.019476493820548058
3.7100000381469727,-1.103365421295166,0.02228318713605404
3.7200000286102295,-1.1383026838302612,0.02508987858891487
3.7300000190734863,-1.1729635000228882,0.027896573767066002
3.740000009536743,-1.2122070789337158,0.030703267082571983
3.75,-1.2497751712799072,0.03368924558162689
3.759999990463257,-1.2850909233093262,0.0366964153945446
3.7699999809265137,-1.3215315341949463,0.03970358520746231
3.7799999713897705,-1.3590915203094482,0.04271075502038002
3.7899999618530273,-1.393664836883545,0.04571792483329773
3.799999952316284,-1.431504487991333,0.048725102096796036
3.809999942779541,-1.4680372476577759,0.051732275635004044
3.819999933242798,-1.5026978254318237,0.054739441722631454
3.8299999237060547,-1.5392305850982666,0.05774661898612976
3.8399999141693115,-1.573891282081604,0.06075378134846687
3.8499999046325684,-1.6109997034072876,0.06357689201831818
3.859999895095825,-1.650054931640625,0.06638358533382416
3.869999885559082,-1.6872358322143555,0.06919027864933014
3.880000114440918,-1.723122477531433,0.07199697196483612
3.890000104904175,-1.760301947593689,0.0748036652803421
3.9000000953674316,-1.7934435606002808,0.0777968093752861
3.9100000858306885,-1.8277499675750732,0.08080398291349411
3.9200000762939453,-1.864575743675232,0.08381116390228271
3.930000066757202,-1.8992925882339478,0.08681832253932953
3.940000057220459,-1.9317314624786377,0.08963713049888611
3.950000047683716,-1.968264102935791,0.09263267368078232
3.9600000381469727,-2.0038609504699707,0.0954505205154419
3.9700000286102295,-2.03916072845459,0.09825721383094788
3.9800000190734863,-2.073479175567627,0.10106391459703445
3.990000009536743,-2.1094167232513428,0.10406134277582169
4,-2.1416056156158447,0.1066860631108284
4.010000228881836,-2.1731176376342773,0.1094839796423912
4.019999980926514,-2.206540107727051,0.11229067295789719
4.03000020980835,-2.2386910915374756,0.11490469425916672
4.039999961853027,-2.272414207458496,0.11751091480255127
4.050000190734863,-2.304898738861084,0.12031075358390808
4.059999942779541,-2.3379883766174316,0.1229233518242836
4.070000171661377,-2.372647523880005,0.12552955746650696
4.079999923706055,-2.403888463973999,0.12833084166049957
4.090000152587891,-2.4354121685028076,0.1309419870376587
4.099999904632568,-2.4672799110412598,0.13354820013046265
4.110000133514404,-2.4969329833984375,0.1361544132232666
4.119999885559082,-2.527538776397705,0.13876062631607056
4.130000114440918,-2.5575151443481445,0.14116941392421722
4.139999866485596,-2.587491273880005,0.14357514679431915
4.150000095367432,-2.6187140941619873,0.14598087966442108
4.159999847412109,-2.649627208709717,0.148386612534523
4.170000076293945,-2.682413101196289,0.15079236030578613
4.179999828338623,-2.7130143642425537,0.1532019078731537
4.190000057220459,-2.741741418838501,0.15560956299304962
4.199999809265137,-2.7710940837860107,0.15801529586315155
4.210000038146973,-2.800755500793457,0.1604192852973938
4.21999979019165,-2.8291733264923096,0.16262678802013397
4.230000019073486,-2.8594655990600586,0.1650325059890747
4.239999771118164,-2.890998363494873,0.16743506491184235
4.25,-2.918149471282959,0.16964033246040344
4.260000228881836,-2.945013999938965,0.17184558510780334
4.269999980926514,-2.9718618392944336,0.17404620349407196
4.28000020980835,-2.998090982437134,0.17605610191822052
4.289999961853027,-3.023704767227173,0.17826136946678162
4.300000190734863,-3.052422046661377,0.18046662211418152
4.309999942779541,-3.0802316665649414,0.18267187476158142
4.320000171661377,-3.108625650405884,0.18487712740898132
4.329999923706055,-3.135178565979004,0.18707489967346191
4.340000152587891,-3.161696434020996,0.1890796720981598
4.349999904632568,-3.1885745525360107,0.19109292328357697
4.360000133514404,-3.215740919113159,0.19329817593097687
4.369999885559082,-3.2451066970825195,0.19550342857837677
4.380000114440918,-3.2738192081451416,0.19770869612693787
4.389999866485596,-3.3025295734405518,0.19991394877433777
4.400000095367432,-3.329087972640991,0.20210835337638855
4.409999847412109,-3.355595350265503,0.20411314070224762
4.420000076293945,-3.379345417022705,0.2061179280281067
4.429999828338623,-3.406179428100586,0.20812270045280457
4.440000057220459,-3.4308669567108154,0.21012748777866364
4.449999809265137,-3.4570960998535156,0.2121322602033615
4.460000038146973,-3.4849281311035156,0.21413706243038177
4.46999979019165,-3.5132997035980225,0.21614183485507965
4.480000019073486,-3.541134834289551,0.21814662218093872
4.489999771118164,-3.5695033073425293,0.2201513946056366
4.5,-3.5970051288604736,0.22215615212917328
4.510000228881836,-3.623497724533081,0.22416095435619354
4.519999980926514,-3.6494650840759277,0.2261657416820526
4.53000020980835,-3.675954580307007,0.22817052900791168
4.539999961853027,-3.700310230255127,0.23017528653144836
4.550000190734863,-3.724665880203247,0.23218007385730743
4.559999942779541,-3.7490217685699463,0.2341848611831665
4.570000171661377,-3.772099256515503,0.23618963360786438
4.579999923706055,-3.7962024211883545,0.23817498981952667
4.590000152587891,-3.8204660415649414,0.23997929692268372
4.599999904632568,-3.8410744667053223,0.24178357422351837
4.610000133514404,-3.8616836071014404,0.24356701970100403
4.619999885559082,-3.8810107707977295,0.24517081677913666
4.630000114440918,-3.8981175422668457,0.24677467346191406
4.639999866485596,-3.9131057262420654,0.2483561933040619
4.650000095367432,-3.927398681640625,0.2497367411851883
4.659999847412109,-3.9373550415039062,0.25091633200645447
4.670000076293945,-3.9441521167755127,0.2518949806690216
4.679999828338623,-3.949772834777832,0.25267264246940613
4.690000057220459,-3.9534056186676025,0.2532494068145752
4.699999809265137,-3.9534053802490234,0.25362515449523926
4.710000038146973,-3.9534051418304443,0.2538256347179413
4.71999979019165,-3.950474739074707,0.2539738714694977
4.730000019073486,-3.943211317062378,0.25374677777290344
4.739999771118164,-3.9334893226623535,0.25329163670539856
4.75,-3.9206016063690186,0.2524346113204956
4.760000228881836,-3.905613899230957,0.2511756420135498
4.769999980926514,-3.888976573944092,0.24954327940940857
4.78000020980835,-3.868947982788086,0.24768096208572388
4.789999961853027,-3.8479812145233154,0.24547570943832397
4.800000190734863,-3.823486566543579,0.24324046075344086
4.809999942779541,-3.794088363647461,0.24080431461334229
4.820000171661377,-3.7624552249908447,0.2381671816110611
4.829999923706055,-3.728731870651245,0.23536045849323273
4.840000152587891,-3.6933493614196777,0.2325219213962555
4.849999904632568,-3.6568150520324707,0.22948236763477325
4.860000133514404,-3.61877179145813,0.22627472877502441
4.869999885559082,-3.583747386932373,0.22306708991527557
4.880000114440918,-3.5440402030944824,0.21985943615436554
4.889999866485596,-3.503965139389038,0.2166517972946167
4.900000095367432,-3.4638454914093018,0.21344415843486786
4.909999847412109,-3.423769235610962,0.21020129323005676
4.920000076293945,-3.3834877014160156,0.2067931443452835
4.929999828338623,-3.341703176498413,0.20338501036167145
4.940000057220459,-3.3016207218170166,0.1999402493238449
4.949999809265137,-3.2585299015045166,0.1963687688112259
4.960000038146973,-3.214132308959961,0.1929982453584671
4.96999979019165,-3.170847177505493,0.1897525191307068
4.980000019073486,-3.128321647644043,0.18634438514709473
4.989999771118164,-3.084857940673828,0.18293625116348267
5,-3.042886972427368,0.1795281171798706
5.010000228881836,-3.0012965202331543,0.17608000338077545
5.019999980926514,-2.958392858505249,0.17251186072826385
5.03000020980835,-2.91605281829834,0.16910375654697418
5.039999961853027,-2.8727691173553467,0.16569562256336212
5.050000190734863,-2.826686382293701,0.16228748857975006
5.059999942779541,-2.783973455429077,0.158879354596138
5.070000171661377,-2.7419984340667725,0.15547123551368713
5.079999923706055,-2.6991093158721924,0.15206310153007507
5.090000152587891,-2.6610822677612305,0.1486549824476242
5.099999904632568,-2.6215322017669678,0.14524684846401215
5.110000133514404,-2.580141305923462,0.1418835073709488
5.119999885559082,-2.540797472000122,0.13863059878349304
5.130000114440918,-2.500134229660034,0.13522247970104218
5.139999866485596,-2.457597017288208,0.13186055421829224
5.150000095367432,-2.4167630672454834,0.1286529004573822
5.159999847412109,-2.3768677711486816,0.12539808452129364
5.170000076293945,-2.3352651596069336,0.1220376193523407
5.179999828338623,-2.2957584857940674,0.11882995814085007
5.190000057220459,-2.2582881450653076,0.11562231928110123
5.199999809265137,-2.2204294204711914,0.11241466552019119
5.210000038146973,-2.182800531387329,0.10925658047199249
5.21999979019165,-2.146267890930176,0.10629944503307343
5.230000019073486,-2.111607313156128,0.10349274426698685
5.239999771118164,-2.0760104656219482,0.10063505917787552
5.25,-2.0390851497650146,0.09767935425043106
5.260000228881836,-2.0033371448516846,0.09487266838550568
5.269999980926514,-1.9678902626037598,0.09201355278491974
5.28000020980835,-1.9313559532165527,0.08905928581953049
5.289999961853027,-1.8933452367782593,0.08630596846342087
5.300000190734863,-1.8577487468719482,0.08364589512348175
5.309999942779541,-1.8213578462600708,0.08089353889226913
5.320000171661377,-1.7824116945266724,0.07828732579946518
5.329999923706055,-1.7480090856552124,0.07562581449747086
5.340000152587891,-1.7152231931686401,0.07287490367889404
5.349999904632568,-1.6812375783920288,0.07026868313550949
